"member_casual","month","num_of_rides"
"casual","Jun",154551
"member","Jun",187985
"casual","Jul",268688
"member","Jul",281047
"casual","Aug",288639
"member","Aug",330953
"casual","Sep",230072
"member","Sep",300754
"casual","Oct",144529
"member","Oct",242213
"casual","Nov",87911
"member","Nov",170940
"casual","Dec",29997
"member","Dec",101142
"casual","Jan",18117
"member","Jan",78715
"casual","Feb",10131
"member","Feb",39491
"casual","Mar",84032
"member","Mar",144462
"casual","Apr",136601
"member","Apr",200624
"casual","May",256916
"member","May",274715
